Rok,Wojewodztwo,Srednia

2002,malopolskie,48.9

2002,malopolskie,42.1

2003,malopolskie,46.3

2004,lodzkie,18.6

2005,lodzkie,23.8

2005,slaskie,32.4

2006,lodzkie,24.6

2006,pomorskie,22.0

2006,slaskie,30.6

2006,zachodniopomorskie,20.7

2007,kujawsko-pomorskie,22.8

2007,lubelskie,20.6

2007,lodzkie,17.1

2007,malopolskie,38.9

2007,mazowieckie,22.4

2007,slaskie,32.5

2007,zachodniopomorskie,19.5

2008,dolnoslaskie,21.5

2008,kujawsko-pomorskie,21.1

2008,lubelskie,18.6

2008,lodzkie,23.1

2008,malopolskie,37.6

2008,malopolskie,37.5

2008,malopolskie,33.5

2008,malopolskie,33.5

2008,podkarpackie,32.0

2008,podkarpackie,45.1

2008,pomorskie,13.5

2008,pomorskie,14.7

2008,slaskie,24.1

2008,slaskie,40.4

2008,slaskie,40.7

2008,wielkopolskie,23.7

2008,zachodniopomorskie,19.7

2009,dolnoslaskie,25.5

2009,dolnoslaskie,32.6

2009,kujawsko-pomorskie,20.3

2009,lubelskie,23.4

2009,lodzkie,23.4

2009,lodzkie,31.4

2009,lodzkie,27.8

2009,malopolskie,52.5

2009,malopolskie,45.8

2009,malopolskie,46.2

2009,malopolskie,39.2

2009,malopolskie,39.4

2009,malopolskie,29.0

2009,mazowieckie,22.4

2009,mazowieckie,23.6

2009,mazowieckie,24.0

2009,mazowieckie,24.1

2009,opolskie,29.2

2009,podkarpackie,23.8

2009,podkarpackie,36.5

2009,podkarpackie,46.6

2009,podlaskie,18.6

2009,pomorskie,17.4

2009,slaskie,35.1

2009,slaskie,37.0

2009,slaskie,29.9

2009,slaskie,34.6

2009,slaskie,39.9

2009,slaskie,33.9

2009,warminsko-mazurskie,16.0

2009,warminsko-mazurskie,13.2

2009,wielkopolskie,26.2

2009,zachodniopomorskie,19.0

2009,zachodniopomorskie,20.4

2010,dolnoslaskie,31.9

2010,dolnoslaskie,27.3

2010,dolnoslaskie,37.6

2010,dolnoslaskie,30.8

2010,dolnoslaskie,27.9

2010,dolnoslaskie,17.5

2010,kujawsko-pomorskie,19.9

2010,kujawsko-pomorskie,27.8

2010,kujawsko-pomorskie,32.4

2010,kujawsko-pomorskie,32.4

2010,kujawsko-pomorskie,21.5

2010,kujawsko-pomorskie,19.5

2010,lubelskie,25.1

2010,lubelskie,27.0

2010,lubelskie,24.0

2010,lubelskie,25.9

2010,lubuskie,18.8

2010,lubuskie,27.2

2010,lubuskie,25.5

2010,lubuskie,24.1

2010,lodzkie,31.8

2010,lodzkie,22.9

2010,lodzkie,29.4

2010,lodzkie,32.9

2010,lodzkie,29.8

2010,malopolskie,61.1

2010,malopolskie,34.4

2010,malopolskie,35.6

2010,malopolskie,40.8

2010,malopolskie,40.6

2010,malopolskie,32.3

2010,malopolskie,46.6

2010,malopolskie,37.4

2010,mazowieckie,30.5

2010,mazowieckie,28.3

2010,mazowieckie,27.9

2010,mazowieckie,25.8

2010,mazowieckie,32.4

2010,mazowieckie,26.3

2010,opolskie,26.7

2010,opolskie,39.5

2010,opolskie,31.8

2010,podkarpackie,27.9

2010,podkarpackie,50.7

2010,podkarpackie,24.5

2010,podkarpackie,42.4

2010,podkarpackie,29.7

2010,podkarpackie,26.3

2010,podkarpackie,41.3

2010,podlaskie,23.7

2010,podlaskie,23.9

2010,podlaskie,26.6

2010,pomorskie,23.0

2010,pomorskie,20.5

2010,pomorskie,20.0

2010,pomorskie,19.2

2010,pomorskie,20.4

2010,pomorskie,19.2

2010,slaskie,45.8

2010,slaskie,42.9

2010,slaskie,44.5

2010,slaskie,42.1

2010,slaskie,44.3

2010,slaskie,42.3

2010,slaskie,40.9

2010,slaskie,49.1

2010,slaskie,21.8

2010swietokrzyskie,37.0

2010,swietokrzyskie,31.2

2010,swietokrzyskie,28.4

2010,warminsko-mazurskie,22.9

2010,warminsko-mazurskie,18.4

2010,warminsko-mazurskie,22.7

2010,warminsko-mazurskie,18.1

2010,warminsko-mazurskie,15.2

2010,wielkopolskie,30.9

2010,wielkopolskie,32.9

2010,zachodniopomorskie,17.3

2010,zachodniopomorskie,17.1

2010,zachodniopomorskie,21.9

