Rok,Polska
1901,7.77
1902,6.37
1903,8.19
1904,7.57
1905,7.77
1906,8.16
1907,7.12
1908,7.14
1909,7.06
1910,8.43
1911,8.42
1912,7.15
1913,8.18
1914,8.19
1915,7.44
1916,8.21
1917,7.28
1918,8.22
1919,7.05
1920,8.23
1921,8.39
1922,6.7
1923,7.59
1924,6.97
1925,8.22
1926,8.21
1927,7.55
1928,7.59
1929,6.82
1930,8.47
1931,7.16
1932,8.1
1933,6.73
1934,9.35
1935,7.94
1936,8.4
1937,8.42
1938,8.61
1939,8.45
1940,5.79
1941,6.23
1942,6.48
1943,8.37
1944,8.22
1945,7.98
1946,7.98
1947,7.47
1948,8.46
1949,8.78
1950,8.27
1951,8.59
1952,7.42
1953,8.45
1954,7.13
1955,7.33
1956,6.35
1957,8.25
1958,7.82
1959,8.4
1960,7.9
1961,8.51
1962,7.06
1963,6.99
1964,7.48
1965,6.86
1966,8.17
1967,8.73
1968,7.96
1969,6.95
1970,7.2
1971,8.16
1972,7.95
1973,8
1974,8.41
1975,8.99
1976,7.33
1977,8.12
1978,7.23
1979,7.48
1980,6.71
1981,7.93
1982,8.41
1983,9.02
1984,7.87
1985,6.84
1986,7.56
1987,6.66
1988,8.28
1989,9.16
1990,9.18
1991,8.21
1992,8.85
1993,7.86
1994,8.92
1995,8.26
1996,6.71
1997,7.94
1998,8.34
1999,8.97
2000,9.56
2001,8.41
2002,9.17
2003,8.43
2004,8.41
2005,8.34
2006,8.72
2007,9.43
2008,9.51
2009,8.75
2010,7.72
2011,9
2012,8.64
2013,8.73
2014,9.87
2015,9.85
2016,9.36
2017,9.15
2018,10
2019,10.25
2020,10.14
